_id, label, question
83, "암보험", "암보험에 가입해도 보상을 못 받는 경우가 있나?"
84, "암보험", "허리디스크를 앓고 있으면 암보험 가입에 제한이 있나?"
85, "암보험", "암보험 가입시 가족의 암경력도 고지의무 사항인가?"
86, "암보험", "암보험에서 상피내암은 왜 진단금이 적은가?"
87, "암보험", "암보험료를 절약하는 방법은?"
88, "암보험", "진단금을 더 많이 주는 암보험 상품이 따로 있나?"
89, "암보험", "암보험은 생명보험사와 손해보험사 중 어느 쪽이 더 좋은가?"
90, "암보험", "암보험을 인슈넷에서 가입할 때 유리한 점은?"
91, "암보험", "암완치 후 5년이 넘었는데 암보험 가입이 가능한가?"
92, "암보험", "암보험을 중복 가입하는데 있어 보장금액의 한도가 있나?"
93, "암보험", "해외거주자도 암보험가입이 가능한가?"
94, "암보험", "암진단시 매번 보상금을 지급하는 암보험이 있나?"
95, "암보험", "정신과 치료경력이 있으면 암보험 가입이 불가능한가?"
96, "암보험", "암보험에서 소멸형과 환급형 중 무엇이 유리한가?"
97, "암보험", "암보험에서 진단금 수술비 입원비 등은 매번 지급되나?"
98, "암보험", "암보험에서 일반암 진단 후 고액암 추가 진단 시 보장은?"
99, "암보험", "암보험에서 기타피부암은 왜 진단금이 적은가?"
100, "암보험", "암보험료는 연령에 따라 달라지나?"
101, "어린이보험", "어린이보험에서 보장하는 특정상병 다발성질환 특정질환"
102, "어린이보험", "어린이보험은 어느정도 가격대가 적당한가"
103, "어린이보험", "어린이보험에서 순수보장형과 환급형 중 어느 것이 좋나"
104, "어린이보험", "어린이보험 보장기간이 길수록 좋은가"
105, "어린이보험", "어린이보험에서 수술 1·2·3·4·5종이 각각 어떻게 다른가"
106, "어린이보험", "어린이보험에서 질병에 대한 보상은 어떻게 되나"
107, "어린이보험", "홈쇼핑에서 어린이보험을 가입하는 것은 어떤가"
108, "어린이보험", "보험료가 부담스러운데 납입보험료를 줄일 수 있나"
109, "어린이보험", "뇌수막염으로 입원한 경우 어린이보험 가입이 가능하나"
110, "어린이보험", "어린이보험료를 절약하는 방법은"
111, "어린이보험", "모세기관지염 병력은 어린이보험을 언제부터 가입 가능한가"
112, "어린이보험", "어린이보험을 인슈넷에서 가입할 때 유리한 점은"
113, "어린이보험", "어린이보험에서 경미한 사항도 가입 제한되나"
114, "어린이보험", "어린이보험에서 수신증 치료 후 가입이 가능한가"
115, "어린이보험", "어린이보험에서 입원급여금과 입원의료비는 어떻게 다른가"
116, "어린이보험", "어린이보험에서 폐렴 완치 후 언제부터 가입이 가능한가"
117, "어린이보험", "어린이보험에서 암도 보장하나"
118, "어린이보험", "어린이보험에서 입원비는 몇일째부터 지급되나"
119, "어린이보험", "어린이보험 가입시 최대한 보험료를 저렴하게 하는 방법은"
120, "어린이보험", "어린이보험에서 배상책임이 가능한 상품이 있나"
121, "어린이보험", "어린이보험에서 골절 및 영구치아손실 및 화상 보상은 어떻게 되나"
122, "어린이보험", "어린이보험에서 후유장해 및 사망 보상은 어떻게 되나"
123, "어린이보험", "어린이보험에서 범죄피해 보상은 어떻게 되나"
124, "어린이보험", "어린이보험에서 특약으로 주요 보장을 받는 것이 좋은가"
125, "어린이보험", "어린이보험에서 입원의료비의 한도는 얼마인가"
151, "자동차보험", "교통사고 후유장해보험금 얼마나 보상되나?"
152, "자동차보험", "피해자에게도 교통사고 과실이 있는 경우는?"
153, "자동차보험", "차량의 일부가 파손되었으나 폐차가 가능하나?"
154, "자동차보험", "집중호우로 차량이 침수되었는데 보상이 되나?"
155, "자동차보험", "주차된 차량이 파손된 경우에도 보상받을 수 있나?"
156, "자동차보험", "임산부가 교통사고로 태아가 사산된 경우 태아의 보험금은?"
157, "자동차보험", "자동차 사고 발생 시 긴급출동 서비스 이용은?"
158, "자동차보험", "운전자 없는 내차 사이드브레이크 풀려 사고시 과실 여부는?"
159, "자동차보험", "대리운전 사고 시 자동차보험 적용은 어떻게 되나?"
160, "자동차보험", "운반 중인 물품이 손상된 경우 보상되나?"
161, "자동차보험", "어떠한 경우 교통사고 형사합의가 필요한가?"
162, "자동차보험", "자동차 보험금 청구 시 필요한 서류는?"
163, "자동차보험", "서행 중 살짝 부딪혔는데 입원한다고 하는데 어떻게 하나?"
164, "자동차보험", "교통사고 후 경미한 부상도 보험 처리 가능한가?"
165, "자동차보험", "자동차보험 해약 시 환급금은 어떻게 산정되나?"
166, "자동차보험", "자동차 사고를 당한 경우 현장 보존과 목격자 확보가 꼭 필요하나?"
167, "자동차보험", "사고 후 새차량에 대한 시세하락 보상되나?"
168, "자동차보험", "뺑소니 입원 치료 중 보험회사가 병원비 직접 지급되나?"
169, "자동차보험", "자동차 사고 후 부상시 보상금 얼마나 나오나?"
170, "자동차보험", "자동차 사고시 보험처리를 하지 않고 개인적으로 합의할 때 유의할 사항은?"
171, "자동차보험", "밤새 주차중인 차량이 도난된 경우 보상되나?"
172, "자동차보험", "무단횡단자를 피하기 위해 중앙선을 침범한 경우 과실은?"
173, "자동차보험", "자동차보험에서 가족 운전자 추가는 어떻게 하나?"
174, "자동차보험", "교통사고로 인한 후유증도 보상 가능한가?"
175, "자동차보험", "자동차 명의이전 필요서류는?"
176, "자동차보험", "매매한 차를 명의이전 전에 매수인이 사고를 낸 경우 어떻게 하나?"
177, "자동차보험", "긴급출동 미가입시 자기차량손해로 보상되나?"
178, "자동차보험", "교통사고로 인한 얼굴 흉터 제거 성형수술도 보상되나?"
179, "자동차보험", "경찰에 자동차 사고 신고하면 사고 내용이 보험회사로 통보되나?"
180, "자동차보험", "여름철 물난리에 대한 자동차보험의 보상 여부는?"
181, "자동차보험", "차량에 석유나 가스 싣고 다니면 보험사에 알려야 하나?"
182, "자동차보험", "앞차 물체가 떨어져 입은 차량 피해도 보상되나?"
183, "자동차보험", "외국생활 후 귀국시 과거 국내에서의 자동차 무사고 할인승계되나?"
184, "자동차보험", "키박스에 운전키 꽂힌 채 부러져도 잠금장치 해제되나?"
185, "자동차보험", "상속받은 차량은 자동차보험 가입자를 누구로 해야 하나?"
186, "자동차보험", "개인 소유의 차량을 업무용으로 직원들이 사용하고 있는데 보험은 어떻게 해야 하나?"
187, "자동차보험", "24세 특약인데 26세가 되면 자동차보험 변경은 어떻게 하나?"
188, "자동차보험", "경찰이 사고 과실비율 결정하나?"
189, "자동차보험", "할증 피하기 위해 아내를 보험가입자로 해도 되나?"
190, "자동차보험", "무면허 또는 음주 사고시 자기신체사고에서 보상되나?"
191, "자동차보험", "사고시 동승한 동생가족은 자동차보험에서 보상되나?"
192, "자동차보험", "긴급출동서비스 중 잠금장치해제란?"
193, "자동차보험", "자동차 양도 후 자동차보험 처리를 어떻게 해야하나?"
194, "자동차보험", "긴급출동서비스 배터리충전 후 다시 방전된 경우에 어떡하나?"
195, "자동차보험", "피해자의 파손된 안경도 자동차보험에서 보상되나?"
196, "자동차보험", "자동차를 폐차한 후 자동차보험 해지는?"
197, "자동차보험", "유료주차장 뺑소니 사고시 자동차보험에서 보상되나?"
198, "자동차보험", "차량소유가 공동명의 등록시 누구의 보험경력이 반영되나"
199, "자동차보험", "중고차 구매시 언제 자동차보험에 가입하나?"
200, "자동차보험", "긴급출동서비스 중 펑크타이어 교체란?"
201, "운전자보험", "운전자보험 가입 시 반드시 고려해야 할 특약은?"
202, "운전자보험", "운전자보험의 보장 금액은 어떻게 결정되나?"
203, "운전자보험", "운전자보험에서 보상하지 않는 사고는?"
204, "운전자보험", "운전자보험에서 의료비 지원은 어떻게 이루어지나?"
205, "운전자보험", "운전자보험 가입 후 사고 시 보험금 청구 절차는?"
206, "운전자보험", "운전자보험에서 가입 가능한 나이 제한은?"
207, "운전자보험", "운전자보험 갱신 시 보험료가 오를 가능성은?"
208, "운전자보험", "운전자보험에서 대물 보상의 범위는?"
209, "운전자보험", "운전자보험에서 보험금 지급 거절 사유는?"
210, "운전자보험", "운전자보험에서 교통사고로 인한 후유증 보상은?"
211, "운전자보험", "운전자보험에서 음주운전 사고도 보상되나?"
212, "운전자보험", "운전자보험의 청구 기간은 얼마나 되나?"
213, "운전자보험", "운전자보험의 보장 내용은 운전 외 사고에도 적용되나?"
214, "운전자보험", "운전자보험에서 경미한 사고의 보상 기준은?"
215, "운전자보험", "운전자보험 해지 후 재가입할 수 있나?"
216, "운전자보험", "운전자보험에서 교통사고 후 정신적 피해에 대한 보상은?"
217, "운전자보험", "운전자보험에서 대인 배상은 어떻게 적용되나?"
218, "운전자보험", "운전자보험의 특약 추가 시 유의사항은?"
219, "운전자보험", "운전자보험에서 보험료를 줄이는 방법은?"
220, "운전자보험", "운전자보험에서 피보험자의 변경 절차는?"
221, "운전자보험", "운전자보험의 보장 기간은 어떻게 되나?"
222, "운전자보험", "운전자보험에서 보상 청구 시 필요한 서류는?"
223, "운전자보험", "운전자보험에서 의료비 지급은 어떻게 이루어지나?"
224, "운전자보험", "운전자보험에서 보상받지 못하는 사고 유형은?"
225, "운전자보험", "운전자보험과 자동차보험의 차이점은?"
226, "운전자보험", "운전자보험에서 사고 후 대물 보상은 어떻게 이루어지나?"
227, "운전자보험", "운전자보험에서 미가입자의 사고 처리 방법은?"
228, "운전자보험", "운전자보험에서 타차 운전 시 보상 범위는?"
229, "운전자보험", "운전자보험에서 무사고 할인 혜택은?"
230, "운전자보험", "운전자보험 해약 시 환급금은 어떻게 산정되나?"
231, "운전자보험", "운전자보험의 보험료 인상 기준은?"
232, "운전자보험", "운전자보험에서 렌트카 운전 시 보상은 어떻게 되나?"
233, "운전자보험", "운전자보험의 할증 기준은?"
234, "운전자보험", "운전자보험에서 경미한 사고 처리 방법은?"
235, "운전자보험", "운전자보험에서 형사합의금 청구 방법은?"
236, "운전자보험", "운전자보험 가입 시 보험회사를 선택할 때 중요한 기준은?"
237, "운전자보험", "운전자보험에서 무면허 운전 사고의 처리 방법은?"
238, "운전자보험", "운전자보험에서 보장받을 수 있는 교통사고 유형은?"
239, "운전자보험", "운전자보험에서 대리운전 사고 시 보상 범위는?"
240, "운전자보험", "운전자보험 갱신 시 보험료를 절약하는 방법은?"
241, "운전자보험", "운전자보험에서 사고 발생 시 긴급 출동 서비스를 이용할 수 있나?"
242, "운전자보험", "운전자보험에서 사고 발생 시 보험금을 청구할 수 있는 최대 기간은?"
243, "운전자보험", "운전자보험에서 차량 교체 시 보장 여부는?"
244, "운전자보험", "운전자보험과 생명보험을 함께 가입할 경우 혜택은?"
245, "운전자보험", "운전자보험에서 형사처벌 관련 보장은 어떻게 이루어지나?"
246, "운전자보험", "운전자보험 가입 후 사고 발생 시 보험사의 대응은?"
247, "운전자보험", "운전자보험에서 자가용과 영업용 차량에 따른 보장 차이는?"
248, "운전자보험", "운전자보험의 보장 내역은 어떻게 확인할 수 있나?"
249, "운전자보험", "운전자보험에서 손해 사정인은 어떤 역할을 하나?"
250, "운전자보험", "운전자보험 가입 시 과거 사고 이력이 영향을 미치나?"
251, "건강보험", "건강보험에서 피보험자의 변경 절차는?"
252, "건강보험", "건강보험에서 지원되는 예방접종은?"
253, "건강보험", "건강보험에서 재활치료는 어떻게 보장되나?"
254, "건강보험", "건강보험의 보험료를 절감하는 방법은?"
255, "건강보험", "건강보험에서 만성 질환자는 어떤 혜택을 받을 수 있나?"
256, "건강보험", "건강보험에서 보험료 납부 유예는 가능한가?"
257, "건강보험", "건강보험에서 병원의 선택은 어떻게 이루어지나?"
258, "건강보험", "건강보험에서 치과 치료 혜택의 범위는?"
259, "건강보험", "건강보험에서 정신과 치료비는 보장되나?"
260, "건강보험", "건강보험에서 중증 질환 환자의 혜택은?"
261, "건강보험", "건강보험에서 미납 시 불이익은?"
262, "건강보험", "건강보험에서 실손보험과 중복 가입 시 혜택은?"
263, "건강보험", "건강보험에서 보험금을 청구하는 방법은?"
264, "건강보험", "건강보험 가입 후 혜택 적용 기간은 언제부터인가?"
265, "건강보험", "건강보험에서 재가입 시 유의해야 할 사항은?"
266, "건강보험", "건강보험의 갱신 주기는 어떻게 되나?"
267, "건강보험", "건강보험에서 임신 관련 치료 혜택은?"
268, "건강보험", "건강보험의 혜택을 받으려면 어떤 조건을 충족해야 하나?"
269, "건강보험", "건강보험에서 급여 항목과 비급여 항목의 차이는?"
270, "건강보험", "건강보험에서 보험료 계산 방식은 어떻게 이루어지나?"
271, "건강보험", "건강보험에서 입원비는 어떻게 청구되나?"
272, "건강보험", "건강보험의 혜택을 받지 못하는 경우는?"
273, "건강보험", "건강보험에서 치과 보장 한도는 어떻게 되나?"
274, "건강보험", "건강보험에서 산부인과 치료도 보장되나?"
275, "건강보험", "건강보험에서 신체검사 비용을 보장하나?"
276, "건강보험", "건강보험에서 외래 진료 시 혜택은?"
277, "건강보험", "건강보험에서 고액 치료비를 보장받는 방법은?"
278, "건강보험", "건강보험에서 환자 부담금의 기준은?"
279, "건강보험", "건강보험에서 이식 수술 비용도 보장되나?"
280, "건강보험", "건강보험에서 출산 관련 보장은 어떻게 이루어지나?"
281, "건강보험", "건강보험에서 한의원 치료도 보장되나?"
282, "건강보험", "건강보험에서 치매 치료 비용을 보장하나?"
283, "건강보험", "건강보험의 상한제는 어떻게 적용되나?"
284, "건강보험", "건강보험에서 중복 가입 시 불이익은?"
285, "건강보험", "건강보험에서 지원하지 않는 질환은?"
286, "건강보험", "건강보험의 보장 한도는 얼마인가?"
287, "건강보험", "건강보험에서 보험료 연체 시 불이익은?"
288, "건강보험", "건강보험의 특약을 추가하는 방법은?"
289, "건강보험", "건강보험에서 의료비 지원은 어떤 방식으로 이루어지나?"
290, "건강보험", "건강보험에서 피부과 치료 혜택도 받을 수 있나?"
291, "건강보험", "건강보험에서 보장받지 못하는 경우는?"
292, "건강보험", "건강보험에서 의료 기기의 보장 범위는?"
293, "건강보험", "건강보험에서 암 치료비 보장은 어떻게 이루어지나?"
294, "건강보험", "건강보험에서 보장받을 수 있는 최대 금액은?"
295, "건강보험", "건강보험에서 산전검사도 혜택을 받을 수 있나?"
296, "건강보험", "건강보험에서 다자녀 가정의 혜택은?"
297, "건강보험", "건강보험의 갱신 주기는 얼마인가?"
298, "건강보험", "건강보험에서 간병비도 보장받을 수 있나?"
299, "건강보험", "건강보험에서 실비보험과 중복 보장은 가능한가?"
300, "건강보험", "건강보험의 보장 한도를 초과한 비용은 어떻게 처리되나?"
301, "암보험", "암보험의 보험료는 어떻게 산정되나?"
302, "암보험", "암보험에서 진단금과 입원비 차이는?"
303, "암보험", "암보험에서 보장받지 못하는 암의 종류는?"
304, "암보험", "암보험에서 수술비와 치료비는 어떻게 나뉘나?"
305, "암보험", "암보험에서 면책 기간이란 무엇인가?"
306, "암보험", "암보험 가입 시 고지해야 할 사항은?"
307, "암보험", "암보험에서 암 재발 시 추가 보장은 가능한가?"
308, "암보험", "암보험에서 가족력의 영향은?"
309, "암보험", "암보험 가입 후 1년 이내에 암 진단 시 혜택은?"
310, "암보험", "암보험에서 일반암과 고액암의 차이점은?"
311, "암보험", "암보험에서 입원 일당은 어떻게 결정되나?"
312, "암보험", "암보험의 해지 절차는?"
313, "암보험", "암보험에서 실비보험과 중복 보장은 가능한가?"
314, "암보험", "암보험에서 보장 기간은 얼마나 되나?"
315, "암보험", "암보험에서 전이암 보장은 어떻게 이루어지나?"
316, "암보험", "암보험에서 고액암 보장 한도는?"
317, "암보험", "암보험 가입 시 유리한 연령은?"
318, "암보험", "암보험에서 항암 치료비는 어떻게 보장되나?"
319, "암보험", "암보험에서 입원 기간이 길어질 경우 보장은?"
320, "암보험", "암보험에서 청구할 수 있는 서류는?"
321, "암보험", "암보험 가입 시 중요한 고지 의무 사항은?"
322, "암보험", "암보험에서 보험금 청구 시기는?"
323, "암보험", "암보험에서 가족력이 있을 경우 불이익은?"
324, "암보험", "암보험에서 진단 후 보험료 납부는 어떻게 이루어지나?"
325, "암보험", "암보험에서 보장받지 못하는 항목은?"
326, "암보험", "암보험에서 면책 사유는?"
327, "암보험", "암보험에서 자녀가 암에 걸렸을 때 보장은?"
328, "암보험", "암보험 가입 후 보장 개시 시기는 언제인가?"
329, "암보험", "암보험의 보험료 납부 유예 기간은?"
330, "암보험", "암보험에서 고액 치료비 보장은 어떻게 이루어지나?"
331, "암보험", "암보험에서 진단 후에도 보험 가입이 가능한가?"
332, "암보험", "암보험의 특약 추가 방법은?"
333, "암보험", "암보험에서 가족력으로 인한 보험료 인상은?"
334, "암보험", "암보험에서 소액암 보장 한도는?"
335, "암보험", "암보험에서 진단 후 보험금 수령 절차는?"
336, "암보험", "암보험에서 입원비 보장은 어떻게 이루어지나?"
337, "암보험", "암보험에서 진단 후 치료비 보장은 어떻게 청구하나?"
338, "암보험", "암보험에서 가족력으로 인해 가입이 거절될 수 있나?"
339, "암보험", "암보험에서 면책 기간 동안 발생한 질병의 보장은?"
340, "암보험", "암보험에서 보장받지 못하는 암의 유형은?"
341, "암보험", "암보험에서 보험금을 청구할 때 필요한 서류는?"
342, "암보험", "암보험에서 보험금을 여러 번 청구할 수 있나?"
343, "암보험", "암보험에서 경계성종양의 진단금은 왜 낮은가?"
344, "암보험", "암보험의 보장 항목은 어떻게 나뉘나?"
345, "암보험", "암보험에서 진단 후 수술비 보장은 어떻게 청구하나?"
346, "암보험", "암보험에서 고액암 치료비 청구는 어떻게 하나?"
347, "암보험", "암보험 가입 시 중요한 체크포인트는?"
348, "암보험", "암보험에서 특약을 추가할 때 유의사항은?"
349, "암보험", "암보험에서 청구하지 못하는 보장 항목은?"
350, "암보험", "암보험의 면책 기간은 어떻게 정해지나?"
351, "어린이보험", "어린이보험에서 소아암 보장은 어떻게 이루어지나?"
352, "어린이보험", "어린이보험에서 주요 질병 보장은?"
353, "어린이보험", "어린이보험 가입 시 나이 제한은?"
354, "어린이보험", "어린이보험에서 입원비 보장은 며칠째부터 시작되나?"
355, "어린이보험", "어린이보험의 특약은 어떤 것을 추가할 수 있나?"
356, "어린이보험", "어린이보험에서 입원 의료비 청구 절차는?"
357, "어린이보험", "어린이보험에서 입원비와 수술비의 차이는?"
358, "어린이보험", "어린이보험에서 장기 입원의 경우 혜택은?"
359, "어린이보험", "어린이보험의 보장 기간은 얼마인가?"
360, "어린이보험", "어린이보험에서 특약으로 암을 보장받을 수 있나?"
361, "어린이보험", "어린이보험에서 청구할 수 있는 최대 금액은?"
362, "어린이보험", "어린이보험에서 형제자매 가입 시 할인 혜택은?"
363, "어린이보험", "어린이보험에서 피보험자 변경 절차는?"
364, "어린이보험", "어린이보험에서 청구 기간은 얼마나 되나?"
365, "어린이보험", "어린이보험에서 영유아 검진도 보장되나?"
366, "어린이보험", "어린이보험에서 보장받을 수 없는 경우는?"
367, "어린이보험", "어린이보험 가입 시 유리한 연령은?"
368, "어린이보험", "어린이보험에서 감기 치료비도 보장되나?"
369, "어린이보험", "어린이보험의 갱신 주기는 얼마인가?"
370, "어린이보험", "어린이보험에서 입원비 한도는 어떻게 되나?"
371, "어린이보험", "어린이보험의 보장 범위는 무엇인가?"
372, "어린이보험", "어린이보험에서 실손보험과 중복 보장은 가능한가?"
373, "어린이보험", "어린이보험에서 수술 특약의 보장 금액은?"
374, "어린이보험", "어린이보험에서 비급여 항목 보장 가능 여부는?"
375, "어린이보험", "어린이보험에서 가입할 때 주의할 점은?"
376, "어린이보험", "어린이보험 가입 후 보험금 청구 절차는?"
377, "어린이보험", "어린이보험에서 만성질환자도 가입 가능한가?"
378, "어린이보험", "어린이보험에서 태아 보험과의 차이점은?"
379, "어린이보험", "어린이보험에서 가입 가능한 질병 목록은?"
380, "어린이보험", "어린이보험에서 사고 후 재가입은 가능하나?"
381, "어린이보험", "어린이보험에서 지급하는 입원비는 어떻게 계산되나?"
382, "어린이보험", "어린이보험에서 보장받지 못하는 질병은?"
383, "어린이보험", "어린이보험의 환급형과 비환급형의 차이는?"
384, "어린이보험", "어린이보험에서 자녀의 건강 상태에 따라 보장이 달라지나?"
385, "어린이보험", "어린이보험에서 지원하는 예방접종은?"
386, "어린이보험", "어린이보험에서 지원받을 수 있는 의료 서비스는?"
387, "어린이보험", "어린이보험의 피보험자 변경 시 절차는?"
388, "어린이보험", "어린이보험에서 지급하지 않는 보험금은?"
389, "어린이보험", "어린이보험에서 형제자매가 가입할 경우 보험료 할인이 되나?"
390, "어린이보험", "어린이보험에서 주의해야 할 특약은 무엇인가?"
391, "어린이보험", "어린이보험에서 청구하는 입원비는 며칠째부터 지급되나?"
392, "어린이보험", "어린이보험에서 만성 질병도 보장받을 수 있나?"
393, "어린이보험", "어린이보험 가입 후에도 보험료 할인을 받을 수 있나?"
394, "어린이보험", "어린이보험에서 심각한 질병도 보장되나?"
395, "어린이보험", "어린이보험에서 가입 후에도 보장을 추가할 수 있나?"
396, "어린이보험", "어린이보험에서 치과 치료도 보장받을 수 있나?"
397, "어린이보험", "어린이보험에서 자녀의 나이에 따라 보험료가 달라지나?"
398, "어린이보험", "어린이보험에서 입원비와 외래진료비는 어떻게 청구되나?"
399, "어린이보험", "어린이보험에서 가입 전 알아두어야 할 사항은?"
400, "어린이보험", "어린이보험에서 사고 후 보험금 청구 절차는?"
401, "어린이보험", "어린이보험에서 자녀의 건강에 따른 보장은?"
402, "어린이보험", "어린이보험에서 가입 후에도 보장 내용을 변경할 수 있나?"
403, "어린이보험", "어린이보험에서 약관에 따른 보장 차이점은?"
404, "어린이보험", "어린이보험에서 소아질환의 보장은 어떻게 이루어지나?"
405, "어린이보험", "어린이보험에서 재가입할 때 유리한 조건은?"
406, "어린이보험", "어린이보험에서 자녀의 건강상태에 따른 보장 혜택은?"
407, "어린이보험", "어린이보험 가입 후 보험료를 절감할 수 있는 방법은?"
408, "어린이보험", "어린이보험에서 보장받을 수 없는 질환은?"
409, "어린이보험", "어린이보험에서 입원비와 수술비의 차이는?"
410, "어린이보험", "어린이보험에서 주요 특약으로 가입 가능한 항목은?"
411, "어린이보험", "어린이보험에서 지원받을 수 있는 의료 서비스는?"
412, "어린이보험", "어린이보험 가입 후 혜택 적용 기간은 언제부터인가?"
