original_utterance,normalized_utterance,chatbot_response,locale,audio_s3_uri,response_hash,utterance_hash,approval_type,approved_by,input_text,response_text,intent
아 어떤 조건이 있어야 가입할 수 있나요?,,"""가입 조건은 고객님의 운전 경력, 사고 이력, 차량 종류에 따라 다릅니다. 다이렉트 가입이 어려운 경우 오프라인으로도 가입이 가능합니다. 자세한 내용은 상담 후 안내해드리겠습니다""",ko-KR,s3://tts-bucket-250810/ko-KR/8084c393199f2300.wav,8084c393199f2300,9bb8d68b38885dc7,chatbot_response,batch_approval_script,아 어떤 조건이 있어야 가입할 수 있나요?,"""가입 조건은 고객님의 운전 경력, 사고 이력, 차량 종류에 따라 다릅니다. 다이렉트 가입이 어려운 경우 오프라인으로도 가입이 가능합니다. 자세한 내용은 상담 후 안내해드리겠습니다""",other
혹시 어떤 조건이 있어야 가입할 수 있나요?,,"""가입 조건은 고객님의 운전 이력과 사고 이력에 따라 다릅니다. 사고가 많으신 경우 오프라인 가입도 가능하니, 구체적인 조건은 상담을 통해 안내해드릴 수 있습니다""",ko-KR,s3://tts-bucket-250810/ko-KR/d01e4b483e2d6e64.wav,d01e4b483e2d6e64,f9d4ff9d41204b6d,chatbot_response,batch_approval_script,혹시 어떤 조건이 있어야 가입할 수 있나요?,"""가입 조건은 고객님의 운전 이력과 사고 이력에 따라 다릅니다. 사고가 많으신 경우 오프라인 가입도 가능하니, 구체적인 조건은 상담을 통해 안내해드릴 수 있습니다""",other
실례지만 어떤 조건이면 가입할 수 있나요,,"""가입 조건은 차량의 연식, 사고 이력, 운전자의 경력 등을 기준으로 합니다. 사고가 많으신 고객님도 오프라인으로 가입 가능하니 걱정 마세요. 추가로 궁금한 사항 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/7cefc250ae9c9f44.wav,7cefc250ae9c9f44,64b937207c2f642d,chatbot_response,batch_approval_script,실례지만 어떤 조건이면 가입할 수 있나요,"""가입 조건은 차량의 연식, 사고 이력, 운전자의 경력 등을 기준으로 합니다. 사고가 많으신 고객님도 오프라인으로 가입 가능하니 걱정 마세요. 추가로 궁금한 사항 있으시면 말씀해 주세요""",other
죄송하지만 바로 가입이 되나요?,,"""가입은 간단하게 진행 가능하며, 보험사로 직접 연결도 해드립니다. 가입 후에는 **익일 오후에 7% 수수료**를 지급해드려요""",ko-KR,s3://tts-bucket-250810/ko-KR/14ae9659d52cf2ed.wav,14ae9659d52cf2ed,43eeb3daa059c0e4,chatbot_response,batch_approval_script,죄송하지만 바로 가입이 되나요?,"""가입은 간단하게 진행 가능하며, 보험사로 직접 연결도 해드립니다. 가입 후에는 **익일 오후에 7% 수수료**를 지급해드려요""",other
잠깐만 괜찮습니다.,,"""간단히 말씀드리자면, 다이렉트 자동차보험 연결 시 **수수료 지급** 혜택이 있습니다. 관심 있으시면 문자로 자세한 정보 보내드릴게요""",ko-KR,s3://tts-bucket-250810/ko-KR/626fc2fd7c672ac6.wav,626fc2fd7c672ac6,72ba5e4d63e477b0,chatbot_response,batch_approval_script,잠깐만 괜찮습니다.,"""간단히 말씀드리자면, 다이렉트 자동차보험 연결 시 **수수료 지급** 혜택이 있습니다. 관심 있으시면 문자로 자세한 정보 보내드릴게요""",other
"""어 네, 들어보겠습니다.""",,"""감사합니다! 고객님께서 자동차를 판매하실 때 저희에게 고객을 소개해 주시면, **최대 7%의 광고비**를 다음날 바로 지급해드립니다. 이 혜택에 대해 더 궁금하신 점이 있으신가요""",ko-KR,s3://tts-bucket-250810/ko-KR/39a47e6db5a10dad.wav,39a47e6db5a10dad,736579e99e43f3b4,chatbot_response,batch_approval_script,"""어 네, 들어보겠습니다.""","""감사합니다! 고객님께서 자동차를 판매하실 때 저희에게 고객을 소개해 주시면, **최대 7%의 광고비**를 다음날 바로 지급해드립니다. 이 혜택에 대해 더 궁금하신 점이 있으신가요""",other
"""어 네, 알겠습니다""",,"""감사합니다! 고객님들 소개해주시면 최대 **7% 수수료**를 드리고, 다음날 바로 지급해드립니다. 자세한 내용 원하시면 언제든지 연락주세요! 📞""",ko-KR,s3://tts-bucket-250810/ko-KR/85286076ba42fa1b.wav,85286076ba42fa1b,5c3fd66a099ce4c5,chatbot_response,batch_approval_script,"""어 네, 알겠습니다""","""감사합니다! 고객님들 소개해주시면 최대 **7% 수수료**를 드리고, 다음날 바로 지급해드립니다. 자세한 내용 원하시면 언제든지 연락주세요! 📞""",positive
"""음 네, 들어보겠습니다.""",,"""감사합니다! 고객님들이 자동차보험을 가입할 때 소개해주시면, 최대 7%의 수수료를 다음날 바로 지급해드립니다. 추가로 삼성과 제휴되어 있어 많은 혜택이 있습니다. 어떻게 진행하면 될까요""",ko-KR,s3://tts-bucket-250810/ko-KR/4324caadee9f0792.wav,4324caadee9f0792,5228997ccc5f96ca,chatbot_response,batch_approval_script,"""음 네, 들어보겠습니다.""","""감사합니다! 고객님들이 자동차보험을 가입할 때 소개해주시면, 최대 7%의 수수료를 다음날 바로 지급해드립니다. 추가로 삼성과 제휴되어 있어 많은 혜택이 있습니다. 어떻게 진행하면 될까요""",other
"""죄송하지만 네, 들어보겠습니다.""",,"""감사합니다! 고객님이 소개해주시는 분이 보험 가입 시, **최대 7%의 광고비**를 다음날 바로 지급해드립니다. 소개 방법은 간단하게 고객님의 연락처만 전달해주시면 됩니다. 추가로 궁금한 점 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/9c0ddd67ada0ab9e.wav,9c0ddd67ada0ab9e,f4e985d82103b4aa,chatbot_response,batch_approval_script,"""죄송하지만 네, 들어보겠습니다.""","""감사합니다! 고객님이 소개해주시는 분이 보험 가입 시, **최대 7%의 광고비**를 다음날 바로 지급해드립니다. 소개 방법은 간단하게 고객님의 연락처만 전달해주시면 됩니다. 추가로 궁금한 점 있으시면 말씀해 주세요""",other
"""실례지만 네, 들어보겠습니다.""",,"""감사합니다! 고객님이 소개해주신 자동차보험 가입 고객에 대해 **최대 7%의 광고비**를 지급해드리며, **다음날 바로 지급**이 가능합니다. 자세한 절차는 간단하게 안내해드릴게요""",ko-KR,s3://tts-bucket-250810/ko-KR/94e2f613b71ae094.wav,94e2f613b71ae094,cb0d5220dbcb8378,chatbot_response,batch_approval_script,"""실례지만 네, 들어보겠습니다.""","""감사합니다! 고객님이 소개해주신 자동차보험 가입 고객에 대해 **최대 7%의 광고비**를 지급해드리며, **다음날 바로 지급**이 가능합니다. 자세한 절차는 간단하게 안내해드릴게요""",other
"""아 네, 들어보겠습니다.""",,"""감사합니다! 고객님이 소개해주신 자동차보험 가입자에게 최대 7% 수수료를 지급해드리며, 다음날 바로 지급됩니다. 가입 의뢰만 주셔도 cu 상품권을 드려요. 추가로 궁금하신 점 있으신가요""",ko-KR,s3://tts-bucket-250810/ko-KR/01e7c1cd6436bb99.wav,01e7c1cd6436bb99,71285b1af1be9a50,chatbot_response,batch_approval_script,"""아 네, 들어보겠습니다.""","""감사합니다! 고객님이 소개해주신 자동차보험 가입자에게 최대 7% 수수료를 지급해드리며, 다음날 바로 지급됩니다. 가입 의뢰만 주셔도 cu 상품권을 드려요. 추가로 궁금하신 점 있으신가요""",other
"""네, 들어보겠습니다""",,"""감사합니다! 고객님이 자동차를 판매하실 때, 저희에게 고객을 소개해 주시면 **최대 7%**의 광고비를 다음날 바로 지급해드립니다. 자세한 절차와 혜택을 안내해드릴게요.""",ko-KR,s3://tts-bucket-250810/ko-KR/cac8863550ef4e2b.wav,cac8863550ef4e2b,4f78fa8699de19ed,chatbot_response,batch_approval_script,"""네, 들어보겠습니다""","""감사합니다! 고객님이 자동차를 판매하실 때, 저희에게 고객을 소개해 주시면 **최대 7%**의 광고비를 다음날 바로 지급해드립니다. 자세한 절차와 혜택을 안내해드릴게요.""",other
실례지만 괜찮은 것 같은데요.,,"""감사합니다! 그럼 구체적인 혜택과 절차 안내해드릴게요. 고객님께서 소개해주신 고객이 보험 가입 시, 수수료는 최대 7% 지급되며, 다음날 바로 지급됩니다. 함께 하실 의향이 있으신가요""",ko-KR,s3://tts-bucket-250810/ko-KR/00732e2b263cc833.wav,00732e2b263cc833,0fff7a2df5a549b8,chatbot_response,batch_approval_script,실례지만 괜찮은 것 같은데요.,"""감사합니다! 그럼 구체적인 혜택과 절차 안내해드릴게요. 고객님께서 소개해주신 고객이 보험 가입 시, 수수료는 최대 7% 지급되며, 다음날 바로 지급됩니다. 함께 하실 의향이 있으신가요""",other
어 괜찮은 것 같은데요.,,"""감사합니다! 그럼 구체적인 혜택과 절차를 안내해드리겠습니다. 고객님이 소개해주신 차량에 대해 보험 가입이 이루어지면, 수수료를 다음날 바로 지급해드리고, 차집사에서 제공하는 다양한 혜택도 함께 안내해드리겠습니다. 필요한 정보나 질문 있으시면 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/c6e75a115acb7fbe.wav,c6e75a115acb7fbe,8a4e87fc5a65f8a2,chatbot_response,batch_approval_script,어 괜찮은 것 같은데요.,"""감사합니다! 그럼 구체적인 혜택과 절차를 안내해드리겠습니다. 고객님이 소개해주신 차량에 대해 보험 가입이 이루어지면, 수수료를 다음날 바로 지급해드리고, 차집사에서 제공하는 다양한 혜택도 함께 안내해드리겠습니다. 필요한 정보나 질문 있으시면 말씀해 주세요""",other
아 괜찮은 것 같은데요.,,"""감사합니다! 그럼 구체적인 혜택과 절차를 안내해드릴게요. 고객님이 소개해주신 분이 보험 가입 시 최대 7% 수수료를 다음날 지급해드리며, 체결율도 95% 이상입니다. 어떻게 진행하실지 말씀해주시면 도와드리겠습니다""",ko-KR,s3://tts-bucket-250810/ko-KR/c57340f75fa84ed2.wav,c57340f75fa84ed2,8769e826abaf4ae9,chatbot_response,batch_approval_script,아 괜찮은 것 같은데요.,"""감사합니다! 그럼 구체적인 혜택과 절차를 안내해드릴게요. 고객님이 소개해주신 분이 보험 가입 시 최대 7% 수수료를 다음날 지급해드리며, 체결율도 95% 이상입니다. 어떻게 진행하실지 말씀해주시면 도와드리겠습니다""",other
괜찮은 것 같은데요,,"""감사합니다! 그럼 구체적인 혜택과 절차를 안내해드릴게요. 고객님이 소개해주신 분이 보험 가입 시 최대 7%의 수수료를 다음날 바로 지급해드리고, 견적 의뢰만 주셔도 cu 상품권을 드립니다. 어떻게 진행할지 말씀해 주시면 안내해드리겠습니다!""",ko-KR,s3://tts-bucket-250810/ko-KR/173d9aa847bd0b13.wav,173d9aa847bd0b13,b056cbd2f7e245a6,chatbot_response,batch_approval_script,괜찮은 것 같은데요,"""감사합니다! 그럼 구체적인 혜택과 절차를 안내해드릴게요. 고객님이 소개해주신 분이 보험 가입 시 최대 7%의 수수료를 다음날 바로 지급해드리고, 견적 의뢰만 주셔도 cu 상품권을 드립니다. 어떻게 진행할지 말씀해 주시면 안내해드리겠습니다!""",other
어 만족하고 있어서요.,,"""감사합니다! 그럼 저희 광고 혜택에 대해 더 자세히 안내해드릴게요. 고객님 소개 시 최대 7%의 수수료를 다음날 지급해드리고, 삼성과도 제휴되어 있습니다. 궁금한 점 있으시면 언제든지 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/f4ad132e9476ea63.wav,f4ad132e9476ea63,6652aadc824e88e5,chatbot_response,batch_approval_script,어 만족하고 있어서요.,"""감사합니다! 그럼 저희 광고 혜택에 대해 더 자세히 안내해드릴게요. 고객님 소개 시 최대 7%의 수수료를 다음날 지급해드리고, 삼성과도 제휴되어 있습니다. 궁금한 점 있으시면 언제든지 말씀해 주세요""",other
아 만족하고 있어서요.,,"""감사합니다! 그럼, 더 많은 고객에게 소개해주시면 추가 혜택 안내해드릴 수 있어요. 관심 있으시면 언제든지 연락주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/7cd452135c41e706.wav,7cd452135c41e706,167099298eb11913,chatbot_response,batch_approval_script,아 만족하고 있어서요.,"""감사합니다! 그럼, 더 많은 고객에게 소개해주시면 추가 혜택 안내해드릴 수 있어요. 관심 있으시면 언제든지 연락주세요""",other
"""잠깐만 네, 말씀하세요.""",,"""감사합니다! 자동차보험을 판매할 때 고객을 소개해 주시면 광고비를 드리는데요, 최대 7%까지 지급해드립니다. 궁금하신 점 있으신가요""",ko-KR,s3://tts-bucket-250810/ko-KR/26a8b41cd378a463.wav,26a8b41cd378a463,8ffdf3bababaa599,chatbot_response,batch_approval_script,"""잠깐만 네, 말씀하세요.""","""감사합니다! 자동차보험을 판매할 때 고객을 소개해 주시면 광고비를 드리는데요, 최대 7%까지 지급해드립니다. 궁금하신 점 있으신가요""",other
"""지금은 네, 들어보겠습니다.""",,"""감사합니다! 저희 차집사에서는 고객님이 자동차를 판매할 때, 보험 가입 고객을 소개해주시면 **최대 7%의 광고비**를 지급해드립니다. 추가적으로 궁금하신 점이 있으신가요""",ko-KR,s3://tts-bucket-250810/ko-KR/469edc4ea537ef87.wav,469edc4ea537ef87,03313d619d0ff9b2,chatbot_response,batch_approval_script,"""지금은 네, 들어보겠습니다.""","""감사합니다! 저희 차집사에서는 고객님이 자동차를 판매할 때, 보험 가입 고객을 소개해주시면 **최대 7%의 광고비**를 지급해드립니다. 추가적으로 궁금하신 점이 있으신가요""",other
번호 저장해둘게요,,"""감사합니다! 제 번호는 저장해 두시고, 언제든지 견적 문의 주시면 빠르게 도와드리겠습니다.""",ko-KR,s3://tts-bucket-250810/ko-KR/1308ef832a332873.wav,1308ef832a332873,f00dcac0a23d4ba3,chatbot_response,batch_approval_script,번호 저장해둘게요,"""감사합니다! 제 번호는 저장해 두시고, 언제든지 견적 문의 주시면 빠르게 도와드리겠습니다.""",other
음 괜찮습니다.,,"""감사합니다! 😊 그러면 구체적인 혜택과 절차를 안내해드릴게요. 고객님께서 자동차보험을 소개해주시면, 최대 7%의 수수료를 다음날 바로 지급해드립니다. 필요한 서류나 절차도 간단하니, 관심 있으시면 자세히 설명드릴게요""",ko-KR,s3://tts-bucket-250810/ko-KR/f3c601969159225a.wav,f3c601969159225a,a82c744e41112a6d,chatbot_response,batch_approval_script,음 괜찮습니다.,"""감사합니다! 😊 그러면 구체적인 혜택과 절차를 안내해드릴게요. 고객님께서 자동차보험을 소개해주시면, 최대 7%의 수수료를 다음날 바로 지급해드립니다. 필요한 서류나 절차도 간단하니, 관심 있으시면 자세히 설명드릴게요""",other
음 견적/계약 일정과 처리 소요가 궁금해요,,"""견적 문의 주시면 보통 24시간 이내에 처리해드리고, 계약은 간단하게 온라인으로 진행 가능합니다. 빠른 처리를 위해 저희에게 연락주시면 최선을 다해 도와드리겠습니다""",ko-KR,s3://tts-bucket-250810/ko-KR/29392a0848d315b7.wav,29392a0848d315b7,467151e62c6a3df1,chatbot_response,batch_approval_script,음 견적/계약 일정과 처리 소요가 궁금해요,"""견적 문의 주시면 보통 24시간 이내에 처리해드리고, 계약은 간단하게 온라인으로 진행 가능합니다. 빠른 처리를 위해 저희에게 연락주시면 최선을 다해 도와드리겠습니다""",other
아 견적/계약 일정과 처리 소요가 궁금해요,,"""견적 요청 후 **1~2일 이내**에 처리됩니다. 계약이 진행되면 **즉시 보험 가입 확인**을 해드리고, 수수료는 **다음날 바로 지급**됩니다. 더 궁금한 점 있으시면 언제든 연락주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/f4a6a2a49bddded1.wav,f4a6a2a49bddded1,aa0413186cda4a88,chatbot_response,batch_approval_script,아 견적/계약 일정과 처리 소요가 궁금해요,"""견적 요청 후 **1~2일 이내**에 처리됩니다. 계약이 진행되면 **즉시 보험 가입 확인**을 해드리고, 수수료는 **다음날 바로 지급**됩니다. 더 궁금한 점 있으시면 언제든 연락주세요""",other
실례지만 견적/계약 일정과 처리 소요가 궁금해요,,"""견적 요청 후 보통 **1~2시간 내**에 빠르게 처리해드리며, 계약은 고객님 확인 후 **즉시 진행** 가능합니다. 필요하신 사항 있으시면 언제든지 말씀해 주세요""",ko-KR,s3://tts-bucket-250810/ko-KR/8cfc0dea3abca3e8.wav,8cfc0dea3abca3e8,8bee9810173e8265,chatbot_response,batch_approval_script,실례지만 견적/계약 일정과 처리 소요가 궁금해요,"""견적 요청 후 보통 **1~2시간 내**에 빠르게 처리해드리며, 계약은 고객님 확인 후 **즉시 진행** 가능합니다. 필요하신 사항 있으시면 언제든지 말씀해 주세요""",other
잠깐만 견적/계약 일정과 처리 소요가 궁금해요,,"""견적 요청하시면 **1시간 이내**에 결과를 드리고, 계약은 간단한 서류 작성 후 **즉시 완료**됩니다. 빠르게 진행해드리니 걱정하지 않으셔도 됩니다""",ko-KR,s3://tts-bucket-250810/ko-KR/e528cc25b9f8ea97.wav,e528cc25b9f8ea97,f5131071739c1676,chatbot_response,batch_approval_script,잠깐만 견적/계약 일정과 처리 소요가 궁금해요,"""견적 요청하시면 **1시간 이내**에 결과를 드리고, 계약은 간단한 서류 작성 후 **즉시 완료**됩니다. 빠르게 진행해드리니 걱정하지 않으셔도 됩니다""",other
견적/계약 일정과 처리 소요가 궁금해요,,"""견적 의뢰 후 전문 상담원이 **빠른 시일 내**에 연락드리며, 계약은 보통 **1~2일** 내에 처리됩니다. 고객님께서 원하신다면 자세한 사항 안내해드릴게요""",ko-KR,s3://tts-bucket-250810/ko-KR/f1e8b23c62858542.wav,f1e8b23c62858542,afe62b2ff6924b1a,chatbot_response,batch_approval_script,견적/계약 일정과 처리 소요가 궁금해요,"""견적 의뢰 후 전문 상담원이 **빠른 시일 내**에 연락드리며, 계약은 보통 **1~2일** 내에 처리됩니다. 고객님께서 원하신다면 자세한 사항 안내해드릴게요""",other
