_id,question,answer
16,"암보험을 인슈넷FC에서 가입할 때 유리한 점은","암보험을 인슈넷FC을 통하여 가입할 경우 아래와 같은 이점이 있습니다.
전문상담사원과의 상담을 통하여 가입자의 필요과 상황을 꼼꼼하게 분석한 후 가입하기 때문에 불필요한 중복이나 과잉보장으로 인한 보험료 낭비가 없습니다.
여러 보험사의 암보험을 비교분석한 후 가입자에게 가장 적합한 상품을 선택하여 가입할 수 있기 때문에 최적의 가입이 가능합니다.  
보험설계사는 시작 후 1년 이내에 일을 그만 두는 경우가 절반을 넘고, 보험사를 옮겨 다니는 경우도 점차 늘어나고 있어 적지 않은 고아계약을 발생시키지만, 인슈넷FC을 통하여 가입할 경우에는 인슈넷FC이 존재하는 한 지속적이고 일관성 있는 계약관리서비스를 받을 수 있습니다."
17,"암완치 후 5년이 넘었는데 암보험 가입 가능하나","가능합니다. 그러나 암에 걸린 적이 있다면 설혹 완치되었더라도 보험사의 심사자가 그 사실을 안다면 가입을 거절할 수 있습니다. 따라서 5년 이내의 암 병력을 질문할 때 굳이 그 이전의 병력까지 답변할 필요는 없습니다."
18,"암보험을 중복 가입하는데 있어 보장금액의 한도가 있나","암보험의 경우 여러 보험사에 가입해도 중복하여 보상이 됩니다. 다만 누적 가입한도의 적용을 받기 때문에 다른 보험사에 이미 고액의 진단금으로 가입하였다면 가입금액에 제한이 있을 수 있습니다. 구체적인 사항에 대해서는 전문가와 상의하는 것이 좋습니다."
19,"보험증권을 분실한 경우 어떻게 하나","보험증권은 보험가입을 증명하는 증거증권에 불과하며, 보험금 청구를 위해 갖추어야 할 필요서류는 아니기 때문에 보험증권을 분실하였다고 해서 보장을 받지 못하는 것은 아닙니다. 또한 보험증권은 언제라도 재발행을 요청하면 다시 받을 수 있으므로 분실하였다면 저희 인슈넷FC이나 보험사를 통하여 재발행을 요청해 주시면 됩니다."
20,"해외거주자도 암보험가입이 가능한가","가입이 불가능 합니다. 암보험은 국적과 관계없이 현재 대한민국에 거주하면서 주된 거주지가 대한민국인 경우에 한해 가입이 가능하며, 그 외에는 이민 예정자를 포함하여 가입할 수 없습니다."
21,"보험금 청구는 언제 하면 되나","보험금 지급 청구권의 소멸시효는 사고발생일로부터 2년입니다. 따라서 보험사고 발생일로부터 2년 이내에만 보험금을 청구하면 보험금을 받을 수 있지만, 2년이 경과되면 권리가 소멸되어 보험금을 청구할 수 없습니다. 보험금청구권 이외의 보험가입자의 보험사에 대한 권리는 통상 2년이며, 보험사의 보험가입자에 대한 권리는 통상 1년입니다."
22,"암진단시 매번 보상금을 지급하는 암보험 있나","상피내암, 기타피부암, 경계성종양으로 진단을 받아 진단금이 지급되어도 암보험은 소멸되지 않습니다. 따라서 추후 암으로 진단을 받는다면 암진단금을 받을 수 있습니다. 만일 고액암에 대하여 추가보장을 하는 상품에 가입하였다면 일반암으로 진단을 받아 암진단금을 받았다고 해도 추후 고액암으로 다시 진단을 받았다면 고액암진단금에서 암진단금으로 이미 지급받은 금액을 차감한 금액을 추가로 받을 수 있습니다. 다만 먼저 고액암으로 진단을 받고 고액암 진단금을 받았다면 추후 일반암으로 다시 진단을 받아도 진단금이 추가로 지급되지 않습니다."
23,"정신과 치료경력이 있으면 암보험 가입 불가능한가","정신과 병력과 암보장과는 직접적인 인과관계가 있다고 보기 어렵지만, 보험가입에 제한이 있는 것이 사실입니다. 따라서 가입을 거절하는 보험사도 있지만, 보험사마다 계약심사 기준이 다르기 때문에 가입여부는 병력에 대한 내용을 보험사로 상세하게 고지한 후 심사를 받아 보아야 알 수 있습니다."
24,"암보험 상품에서 말하는 암의 범위는","암보험 상품에서 일반적으로 보장하는 암의 범위는 다음과 같습니다.
입술, 구강 및 인두의 악성 신생물
소화기관의 악성 신생물
호흡기 및 흉곽내 장기의 악성 신생물
뼈 및 관절연골의 악성 신생물
흑색종 및 피부의 기타 악성 신생물
중피성 및 연조직의 악성 신생물
유방의 악성 신생물
여성 생식기관의 악성 신생물
남성 생식기관의 악성 신생물
요로의 악성 신생물
눈, 뇌 및 중추신경계의 기타 부위의 악성 신생물
갑상선 및 기타 내분비선의 악성 신생물
불명확한, 속발성 및 상세불명부위의 악성 신생물
림프, 조혈 및 관련조직의 악성 신생물
그러나, 상품마다 다소 차이가 있지만 다음의 2가지 경우에는 보장이 되지 않습니다.
상피내암, 경계성종양일 경우: 보통 일반암 보장금액의 20%를 지급합니다. 입원시에는 일반암과 동등하게 보장해주는 상품도 있습니다.
계약일 기준 90일 이내에 암 진단시: 그 동안 납입한 보험료를 돌려 받으며, 계약은 소멸됩니다."
25,"암보험에서 소멸형과 환급형 중에서 무엇이 유리한가","어느 것이 더 유리하다 불리하다 말하기 어렵고 각각 특징이 있습니다.
소멸형은 보험료가 저렴하기 때문에 중도 해지시 손해가 적은 장점이 있습니다. 경제 형편이 넉넉하지 않다면 소멸형을 선택하는 것이 좋습니다.
환급형은 암 발병시 보험금을 지급받더라도 보험료 납입의무가 면제되며, 보험기간이 만료될 때 계약 당시 약정한 만기환급금을 지급 받는 장점이 있습니다. 경제 형편이 넉넉하다면 환급형을 선택하는 것이 좋습니다."
26,"암보험에서 진단금이란","병원에서 의사가 조직검사, 혈액검사 또는 미세침흡인검사에 대한 현미경 소견을 기초로 하여 암으로 진단했을 때 일시금으로 지급되는 고액의 보험금을 말합니다.
진단금을 얼마나 받을 지는 보험가입시 선택할 수 있습니다.
최초 진단받은 암에 대해서만 1회에 한하여 지급됩니다."
27,"고혈압인 경우 암보험 가입이 가능한가","건강보험은 병력이 있는 경우 암보험에 비해 상대적으로 가입이 어렵습니다. 이것은 암보험에 포함된 질병관련 특약의 경우에도 마찬가지 입니다. 따라서 지금 고혈압으로 약을 복용중이시라면 암보험에 암진단금 이외의 질병보장 특약을 포함시키는 것은 어려울 수도 있습니다."
28,"보험가입기간 중 해외로 이민을 가는 경우 어떻게 하나","암보험 가입시점에서 해외로 이민이 예정되어 있다면 보험사로 그 사실을 알려야 하며, 통상 해외이민이 예정되어 있는 경우에는 암보험 가입이 거절됩니다. 다만 가입시점에서는 이민이 예정되어 있지 않다가 나중에 사정이 변경되어 이민을 가게 된 경우에는 보장이 가능합니다. 다만 해외에서도 보험료를 납입해 줄 수 있어야 하며, 보험금 청구도 국내에서 이루어 져야 합니다."
29,"외국보험사의 암보험이 국내보험사보다 더 좋나","국내 보험사의 암보험이 더 좋습니다. 암 진단금을 기준으로 비교했을 때 외국 보험사보다 보험료도 저렴하고 진단금도 높습니다. 또한 보험기간도 최고 80세까지 선택 할 수 있는데 반해, 외국 보험사는 보험기간이 최장 20년으로 짧은 경우가 많고, 암 진단금도 국내 보험사에 비해 낮습니다."
30,"흡연여부가 암보험료에 영향 미치나","피보험자의 사망을 보장하는 종신보험이나 정기보험에서는 우량체로 가입하는 경우 보험료를 할인해 주므로 흡연여부가 보험료에 영향을 미치지만, 암보험에서는 우량체 가입에 따른 보험료 할인이 없기 때문에 흡연여부가 보험료에 영향을 미치는 것은 아닙니다."
31,"암보험 가입 후 90일이 되기 전에 암진단 확정시 보상은","보험약관에서 규정하고 있는 암의 책임개시일은 '계약일로부터 그 날을 포함하여 90일이 지난 날의 다음날'입니다. 따라서 책임개시일 이전에 암으로 진단 확정된 경우 암보장을 받을 수 없습니다. 다만 상피내암, 기타피부암, 경계성종양은 이 규정이 적용되지 않기 때문에 보장을 받을 수 있습니다."
32,"암 종류별 입원일수, 진료비 및 보험급여비 수준은","아래 표는 건강보험관리공단이 2004-12-29일 발표한 자료와 통계청이 2004-09-23일 발표한 자료를 통합한 것입니다. ★ 표는 우리나라의 6대 암입니다. 입원일수, 진료비, 보험급여비는 건강보험관리공단의 자료이며 2002년 신규환자의 2003년까지 진료비입니다. 진료비와 보험급여비는 국민건강보험의 진료비 기준이며 비보험(특진료, 초음파, MRI, 병실료차액, 식대 등) 금액은 제외되었습니다. 발생점유비는 통계청 자료이며 발생점유비가 표시되지 않은 암종류의 발생점유비 합계는 11.4%입니다.
암종류
발생점유비(%)
입원일수
진료비(원)
보험급여비(원)
   백혈병
2.3          
69
21,820,111    
17,197,665    
   뼈 및 관절연골암
  69
12,250,309    
9,437,611    
   다발성골수종
0.7          
64
11,700,962    
9,033,350    
   비호치킨림프종
1.5          
50
10,654,533    
7,781,667    
   난소암
0.9          
44
9,878,022    
7,610,514    
   식도암
2.4          
52
9,265,770    
6,806,047    
   뇌암
1.8          
50
8,897,314    
6,689,020    
★대장암
8.7          
41
8,353,650    
6,098,085    
   입술구강암
1.4          
41
8,235,608    
5,776,120    
   담도암
  46
8,156,810    
6,167,153    
★폐암
20.0          
40
8,060,370    
5,895,136    
   췌장암
4.7          
46
7,440,602    
5,500,273    
★유방암
2.3          
28
7,284,791    
4,923,911    
   중피성연조직암
  41
 6,868,652    
5,062,294    
   요관암
  34
6,833,915    
4,902,569    
★간암
17.3          
37
6,802,689    
5,071,440    
★위암
18.5          
35
6,528,258    
4,822,660    
   소장암
  38
6,420,690    
4,845,424    
   후두암
1.0          
29
6,151,186    
4,190,798    
   담낭암
  40
 5,766,423    
4,325,763    
★자궁경부암
2.2          
33
5,699,055    
4,013,132    
   신장암
  27
5,214,175    
3,775,177    
   전립선암
1.2          
20
5,040,446    
3,391,409    
   신우암
  25
5,030,880    
3,620,394    
   방광암
1.5          
23
4,767,482    
3,357,070    
   피부암
0.2          
21
3,231,139    
2,316,000    
   기타암
  28
5,048,662    
3,681,495    
평균
37
 7,329,283    
5,373,454    "
33,"암보험 선택시 고액암과 일반암 중 어디에 비중을 두나","암진단금의 경우 일반암 기준으로 최고 8,000만원(보험연령 40세 미만인 경우)의 진단금을 지급하는 상품이 있습니다. 고액의 암진단금 보장을 원하신다면 발생빈도가 상대적으로 낮은 고액암 진단금보다는 모든 암(일반암)에 대한 진단금을 비교하여 상품을 선택하시는 것이 좋습니다. 일반적으로 암보험은 보험연령 기준으로 60세까지 가입이 가능합니다."
34,"암보험에서 암진단금, 수술비, 입원비 등은 매번 지급되나","암진단금: 최초로 진단받았을 때 1회에 한하여 지급됩니다. 다만 고액암까지 보장하는 상품인데 최초 진단을 일반암으로 받았다면 고액암에 대한 추가 진단비는 살아있는 것으로 봅니다.
수술비: 보험약관에서 정한 회수까지 반복 지급됩니다. 수술비 지급 금액은 회수별로 다를 수 있습니다.
입원비: 입원일수 3일 초과 1일당 정액으로 지급됩니다.
방사선치료비나 약물치료비 등의 보장항목이 있는 경우 1회만 지급될 수도 있고, 2회 이후에는 보험금이 1회보다 적게 지급될 수 있습니다."
35,"암보험에서 일반암 진단 후 고액암 추가 진단시 보장은","일반암이 발견되어 일반암 진단금이 지급되었는데, 그 후 다시 고액암으로 진단되었다면 고액암 진단금에서 지급된 일반암 진단금을 차감한 금액을 추가로 지급합니다. 예를 들어 고액암 진단금 5천만원, 일반암 진단금 3천만원으로 가입했는데 일반암 진단금으로 3천만원이 지급되었다면 나머지 2천만원을 고액암 진단시 추가로 지급합니다."
37,"전화로 암보험을 가입하는 것은 어떤가","보험가입에서 중요한 것은 가입경로(전화 등)의 문제라기보다 가입자의 이익을 대변할 수 있는 책임 있는 계약관리자(담당자)가 있는지 여부입니다. 보험상품이 동일하고 보장내용이 같다면 일반적으로 가입경로에 따른 보험료 차이는 없습니다. 따라서 전화를 통해 보험에 가입했다고 해도 책임있는 관리자가 있다면 문제가 되지 않습니다. 하지만 홈쇼핑이나 단지 가입만을 담당하는 콜센터 등을 통해 보험에 가입하는 경우에는 책임있는 관리자가 없기 때문에 계약관리나 보험금 청구 등에 있어 가입자의 불편이 따르게 됩니다."
38,"암보험은 보장금액을 얼마로 가입하면 좋나","가능하면 보장금액을 높게 가입하십시오. 암에 걸리면 치료비뿐 아니라 간병비, 생활비, 회복자금 등 막대한 비용이 추가로 필요합니다. 또한 재발 및 전이에 대한 위험성도 높기 때문에 그에 대한 대비도 해야 합니다. 참고로 보건복지부에서 2003년 발표한 자료에 따르면 암치료비는 아래와 같습니다. (암 종류별 표준치료비, 180일 기준)
  간암
위암
폐암
유방암
자궁암
대장암
4,140만원
2,400만원
1,920만원
1,500만원
1,120만원
1,100만원"
39,"뇌경색 진단금을 보장해 주는 암보험 상품이 있나","현재 판매되고 있는 암보험 상품 중에는 뇌졸중 진단자금 중 뇌경색 진단자금이 제외된 상품이 많습니다. 따라서 각 상품별로 확인을 하여야 하며, 가입 설계시 보험전문가와 상담하는 것이 좋습니다."
40,"건강검진상의 이상으로 암보험 가입이 거절되나","실제 치료를 받으신 것이 아니라고 해도 건강검진 결과 이상소견이 있었다면 보험사는 가입을 거절하거나 가입에 제한(사전진단조건, 부담보조건 등)을 둘 수 있습니다. 정확한 가입 가능 여부는 가입 심사를 통하여 개별적으로 확인하여야 합니다."
41,"진단형 암보험 vs 종합형 암보험","암보험 상품은 보험금을 지급하는 방식에 따라 '진단형'과 '종합형'으로 나눌 수 있습니다.
'진단형' 암보험이란 암으로 진단될 때 고액을 진단금으로 지급하고 더 이상 보험금을 지급하지 않는 상품을 말합니다.
'종합형' 암보험이란 암으로 진단될 때 지급하는 진단금은 적지만 그 대신 수술, 입원, 방사선치료, 항암약물치료, 통원 등의 사유가 있을 때 보험금을 지급하는 상품을 말합니다.
암보험은'종합형'보다는 '진단형'이 더 유용합니다. '진단형'은 암으로 진단되면 일시금을 받으므로 치료 방법과 자금의 활용도가 자유로운 반면, '종합형'은 미리 정해진 사유가 발생할 때만 보험금을 받을 수 있으므로 치료 방법이 제한되고 자금의 활용도가 부자유합니다."
42,"암보험의 가입금액은 얼마가 적당한가","암보험 가입금액을 정해보려면 우선 암 관련 비용을 먼저 알아야 합니다. 암 관련 비용이라고 말하는 이유는 암을 치료하는데는 치료비 외에 부대비용이 많이 들기 때문입니다. 실제로 암 치료비는 암 관련 비용의 절반도 안 된다는 것이 중론입니다.
암 관련 비용에서 가장 큰 부분은 물론 병원에 지급하는 치료비입니다.
하지만 통원 치료를 받기 위해서는 교통비와 외식비가 들어가며 그 외에도 소소한 잡비가 필요합니다.
또 입원 치료를 하든 거동이 불편한 상태로 집에서 치료하든간병비가 필요합니다. 간병인을 쓰지 않는다 해도 거기에 준하는 누군가의 노동력이 필요합니다. 국립암센터에서 조사한 바에 따르면말기 암 환자 가족의 절반이 직장을 포기했다고 합니다. (연합뉴스 2005-03-31)
그리고 암 환자는 충분한 영양을 섭취해야 하므로 식비도 더 많이 들어가고, 상당한 비용이 요구되는 식이요법이 필요할 수도 있습니다.
암보험의 가입금액은 이런 요소를 참고하여 결정해야 될 것입니다. 암 치료비는 정확히 계산할 수 없습니다. 암의 종류에 따라 달라지기도 하지만, 치료 병원이나 치료 방법의 선택에 더 큰 차이를 보이기 때문입니다. 다만 국민일보가 "[癌，함께 극복하자] 암치료비용 얼마나 드나"라는 제목으로 보도한 내용은 이렇습니다. "2003년 통계청 자료에 따르면 우리나라 암환자들 본인이 부담하는 180일기준 표준 치료비는 간암 4,140만원, 위암 2,400만원, 폐암 1,920만원, 유방암 1,500만원, 자궁암 1,120만원, 대장암 1,100만원의 순이다. 그러나 이는 건강보험 진료 실적에 드러난 본인부담 부분만 집계한 것일 뿐이다. 건강보험 혜택이 주어지지 않는 항암제와 각종 검사비 등 비급여부분을 더하면 아무리 적게 잡아도 이보다 2∼3배에 이른다고 암환자들은 입을 모은다. (국민일보 2004-11-28)"
  암 치료비를 예상하기 어려운 가장 큰 이유는 미래의 어느 시점에서 암이 발병될지 모른다는 점입니다. 암이 발병할 당시의 치료비나 물가를 짐작하는 것은 불가능한 일입니다. 치료비가 획기적으로 저렴해지는 치료방법이 개발될 수도 있겠지만, 지금까지의 사례로 보면 치료비는 과거보다 지속적으로 인상되어 왔습니다. 반면에 암 치료비에서 국민건강보험에서 부담하는 비율도 상승해 왔으므로 이것이 병원 치료비의 상승분을 상계할 수도 있습니다. 하지만 역시 막연한 가정일 뿐입니다.
  2000년 이전에 보험사들이 판매한 암보험은 보장금액이 2천만원 수준이었지만, 2005년 시점에서는 4천만원 정도가 주류를 이루고 있습니다. 이런 점에서 볼 때 4천만원보다 2~3배인 8천만원~1억2천만원 정도의 금액을 가입한 후 10년쯤 경과한 시점에서 다시 리모델링을 한다면 암 관련 비용은 어느 정도 보장될 수 있을 것으로 생각됩니다."
43,"암보험은 모든 종류의 암을 보장하나","암보험은 모든 종류의 암을 보장합니다. 다만 암의 종류에 따라 보장금액이 달라질 수 있습니다. 고액의 치료비가 들어가는 백혈병, 골수암, 뇌암 등에 대해서는 일반암에 비해 고액의 보험금을 지급하는 상품도 있습니다."
44,"가입 기간 중 특약추가가 가능한가","암보험 가입 중에도 보험계약 변경을 통하여 특약의 추가가 가능합니다. 다만 계약변경에 대한 보험사의 심사 및 승인이 필요하며, 보험사에 따라서는 특약 추가가 불가능할 수도 있습니다."
45,"전화로 보험가입시 자필서명이 면제되나","보험업감독규정 제4-37조 '전화를 이용한 모집시 자필서명 면제' 규정에 따라 전화를 통한 가입이 가능한 상품으로 가입하는 경우에는 음성녹취를 통한 가입동의가 자필서명을 대신하기 때문에 자필서명을 하지 않아도 됩니다. 다만 전화를 통한 가입이라도 해도 계약자와 피보험자가 다른 경우에는 반드시 자필서명을 해야 합니다."
46,"암이 다른 부위에서 전이된 경우 어떤 암을 기준으로 하나","암보험금은 원발성 암에 대해서 지급합니다. 왜냐하면 의료경험칙상 암은 전이되는 특성을 가졌음에도 먼저 발견된 부위에 따라 암의 종류가 확정되는 것은 불합리하기 때문입니다. 최초로 암이 발생한 시기 및 원인보다는 병원에서의 암진단 시점에 따라 암이 확정된다면 암보험금 지급과 관련하여 보험가입자에게 불리하게 적용될 소지가 있기 때문입니다. 따라서 먼저 발견된 부위의 암 종류에 따라 암 보험금이 지급되는 것은 아니라, 최초로 발생한 부위의 원발성 암을 기준으로 지급됩니다."
47,"보험계약자, 피보험자, 보험수익자란","보험계약자는 단순히 보험료를 납입하는 사람입니다. 따라서 보험 사고와는 관계가 없지만, 연말정산시 소득공제 혜택의 대상이 되며, 만기환급금 및 해약환급금, 배당금을 받을 권리가 있습니다.
피보험자는 보험금 지급 조건의 대상자입니다. 즉 보험금의 지급은 피보험자의 사고 유무에 따라 결정됩니다.
보험수익자는 보험금을 받을 수 있는 사람이며, 만기시 수익자, 입원 및 상해시 수익자, 사망시 수익자로 구분됩니다. 특별히 보험수익자를 지정하지 않으면 만기시에는 계약자, 입원시에는 피보험자, 사망시에는 법정상속인이 수익자가 됩니다. 계약자와 만기시 보험수익자가 다를 경우에는 증여세가 부과될 수 있습니다."
